2010-2011 NBA REGULAR SEASON ADVANCED STATS,,,,,,,,,,,,,,,,,,,,
Rank,Team,Conf-Div,GP,PPG,OPPG,PDIFF,PACE,OEFF,DEFF,EDIFF,SOS,SAR,CONS,A4F,WINS,LOSS,WIN%,pWIN%,eWIN%,ACH
,LA Clippers,W-PC,82,98.6,101.8,-3.2,92.8,105.4,108.7,-3.3,0.21,-3.09,12.3,0.024,32,50,0.39,0.395,0.394,-0.004
,LA Lakers,W-PC,82,101.5,95.4,6.1,90.7,111,104.3,6.7,-0.07,6.63,14.5,0.034,57,25,0.695,0.701,0.678,0.017
,Memphis,W-SW,82,99.9,97.6,2.3,91.9,107.7,105.2,2.5,0.68,3.18,13.4,-0.043,46,36,0.561,0.576,0.574,-0.013
,Miami,E-SE,82,102.1,94.6,7.5,90.9,111.8,103.6,8.2,-0.23,7.97,13.7,0.088,58,24,0.707,0.747,0.725,-0.018
,Milwaukee,E-CT,82,91.9,92.7,-0.8,89.8,101.6,102.5,-0.9,0.31,-0.59,13.8,-0.046,35,47,0.427,0.474,0.474,-0.047
,Minnesota,W-NW,82,101.1,107.7,-6.6,96.5,104.2,111.1,-6.9,0.45,-6.45,13.2,-0.017,17,65,0.207,0.283,0.301,-0.094
,New Jersey,E-AT,82,94.2,100.4,-6.2,89.9,103.1,109.9,-6.8,0.23,-6.57,11.5,-0.024,24,58,0.293,0.296,0.277,0.016
,New Orleans,W-SW,82,94.9,94,0.9,88.7,106.2,105.2,1,0.65,1.65,14.1,-0.029,46,36,0.561,0.53,0.528,0.033
,New York,E-AT,82,106.5,105.7,0.8,95.5,110.9,110.1,0.8,-0.06,0.74,12.1,-0.021,42,40,0.512,0.526,0.526,-0.014
,Oklahoma City,W-NW,82,104.8,101,3.8,92.7,111.2,107.2,4,-0.2,3.8,12,0.02,55,27,0.671,0.625,0.63,0.041
,Orlando,E-SE,82,99.2,93.7,5.5,91.2,107.9,102,5.9,-0.33,5.57,13.8,0.088,52,30,0.634,0.681,0.666,-0.032
,Philadelphia,E-AT,82,99,97.5,1.5,91.6,106.7,105.1,1.6,-0.31,1.29,14.2,-0.004,41,41,0.5,0.549,0.545,-0.045
,Phoenix,W-PC,82,105,105.9,-0.9,94.4,109.5,110.4,-0.9,-0.21,-1.11,12.6,0.003,40,42,0.488,0.47,0.472,0.016
,Portland,W-NW,82,96.3,94.8,1.5,87.9,108.9,107.1,1.8,0.13,1.93,14.5,-0.063,48,34,0.585,0.549,0.55,0.035
,Sacramento,W-PC,82,99.4,104.7,-5.3,95.1,103.6,109.1,-5.5,0.78,-4.72,12.9,-0.029,24,58,0.293,0.325,0.334,-0.041
,San Antonio,W-SW,82,103.7,98,5.7,92.3,111.8,105.6,6.2,-0.41,5.79,13,0.057,61,21,0.744,0.688,0.683,0.061
,Toronto,E-AT,82,99.1,105.4,-6.3,92.9,106.2,112.9,-6.7,0.37,-6.33,12.5,-0.041,22,60,0.268,0.293,0.296,-0.028
,Utah,W-NW,82,99.4,101.3,-1.9,91,108.1,110.1,-2,0.42,-1.58,13.6,-0.021,39,43,0.476,0.437,0.442,0.034
,Washington,E-SE,82,97.3,104.7,-7.4,93.8,102.4,110.2,-7.8,-0.01,-7.81,14.2,-0.074,23,59,0.28,0.256,0.291,-0.011
